"","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"2940","bitcoin-cash","BCH","Bitcoin Cash",2018-02-21,5,1412.85,1423.94,1293.47,1308.46,575353984,22218026982,0.114892312408983,130.47
"2941","bitcoin-cash","BCH","Bitcoin Cash",2018-02-22,5,1304.66,1350.34,1194.05,1219.49,475079008,20709470642,0.162774329771579,156.29
"2942","bitcoin-cash","BCH","Bitcoin Cash",2018-02-23,5,1217.36,1319.33,1161.42,1270.71,492542016,21581532150,0.692103096700652,157.91
"2943","bitcoin-cash","BCH","Bitcoin Cash",2018-02-24,5,1266.56,1309.38,1149.48,1193.27,413263008,20268481491,0.273858661663539,159.9
"2944","bitcoin-cash","BCH","Bitcoin Cash",2018-02-25,5,1191.35,1210.2,1143.07,1178.1,362664992,20012870666,0.521823327871294,67.13
"2945","bitcoin-cash","BCH","Bitcoin Cash",2018-02-26,5,1177.58,1274.86,1149.44,1250.56,460182016,21246107744,0.806250996651251,125.42
"2946","bitcoin-cash","BCH","Bitcoin Cash",2018-02-27,5,1255.45,1297.69,1231.99,1246.66,420912000,21181906561,0.223287671232878,65.7
"2947","bitcoin-cash","BCH","Bitcoin Cash",2018-02-28,5,1243.26,1275.66,1204.16,1204.16,375300992,20462034996,0,71.5
"2948","bitcoin-cash","BCH","Bitcoin Cash",2018-03-01,5,1204.84,1303.45,1195.03,1291.92,482240000,21955792824,0.893654307323373,108.42
"2949","bitcoin-cash","BCH","Bitcoin Cash",2018-03-02,5,1284.95,1303.66,1255.37,1275.18,421497984,21673564991,0.410229861254922,48.29
"2950","bitcoin-cash","BCH","Bitcoin Cash",2018-03-03,5,1274.67,1302.8,1257.76,1270.38,371664000,21594173316,0.280195381882773,45.04
"2951","bitcoin-cash","BCH","Bitcoin Cash",2018-03-04,5,1267.86,1289.72,1225.1,1289.08,367584000,21914279433,0.990095945527701,64.62
"2952","bitcoin-cash","BCH","Bitcoin Cash",2018-03-05,5,1287.1,1291.88,1268.03,1268.03,350078016,21558729053,0,23.85
"2953","bitcoin-cash","BCH","Bitcoin Cash",2018-03-06,5,1264.19,1264.19,1179.85,1206.04,401782016,20506961442,0.310528811951625,84.34
"2954","bitcoin-cash","BCH","Bitcoin Cash",2018-03-07,5,1205.84,1218.84,1043.7,1092.16,455224992,18572604012,0.276692931369191,175.14
"2955","bitcoin-cash","BCH","Bitcoin Cash",2018-03-08,5,1094.64,1113.61,1006.86,1040.21,446519008,17691098520,0.312412177985949,106.75
"2956","bitcoin-cash","BCH","Bitcoin Cash",2018-03-09,5,1034.69,1071.65,937.97,1067.02,510887008,18148929842,0.965365050867743,133.68
"2957","bitcoin-cash","BCH","Bitcoin Cash",2018-03-10,5,1071.15,1087.3,994.19,1005.93,370367008,17111762063,0.126087423477606,93.11
"2958","bitcoin-cash","BCH","Bitcoin Cash",2018-03-11,5,1002.55,1157.07,973.35,1145.17,514167008,19482419344,0.935227520139343,183.72
"2959","bitcoin-cash","BCH","Bitcoin Cash",2018-03-12,5,1143.94,1152.56,1022.03,1051.28,425558016,17886964137,0.224086416915652,130.53
"2960","bitcoin-cash","BCH","Bitcoin Cash",2018-03-13,5,1051.07,1100.07,999.75,1064.03,458028000,18105827088,0.640749601275917,100.32
"2961","bitcoin-cash","BCH","Bitcoin Cash",2018-03-14,5,1071.5,1073.12,924.41,949.47,406616000,16158029406,0.168515903436219,148.71
"2962","bitcoin-cash","BCH","Bitcoin Cash",2018-03-15,5,949.77,954.41,877.1,943.64,374740992,16060495993,0.86069072564998,77.31
"2963","bitcoin-cash","BCH","Bitcoin Cash",2018-03-16,5,943.6,1053.63,902.78,977.03,472032992,16630711169,0.492210805435863,150.85
